CANTOR,COD.,MÚSICA,INÍCIO DA LETRA
19,18483.0,ANO KAMI HIKOHKI KUMORIZORA,Genki desu ka kimi wa ima mo
365,6549.0,SAO PAULO,tem dias que eu digo nao....
10 CC,4920.0,I'M NOT IN LOVE,i'm not in love so don't forget it
10000 MANIACS,19807.0,MORE THAN THIS,I could feel at the time
14 BIS,3755.0,LINDA JUVENTUDE,zabele zumbi besouro vespa fabricando
14 BIS,6074.0,PLANETA SONHO,aqui ninguem mais ficara depois do sol...
14 BIS,6197.0,TODO AZUL DO MAR,foi assim como ver o mar ...
14 BIS,7392.0,NATURAL,penso em voce no seu jeito de falar
14 BIS,7693.0,ROMANCE,flores simples
14 BIS,9556.0,UMA VELHA CANCAO ROCK'N'ROLL,olhe oh oh oh venha solte seu corpo n
14 BIS,1039.0,BOLA DE MEIA BOLA DE GUDE,ha um menino ha um...
3 DOORS DOWN,9033.0,HERE WITHOUT YOU,a hundred days had made me older
30 SECONDS TO MARS,20379.0,THE KILL BURY ME,What If I Wanted To Break
4 NON BLONDES,2578.0,SPACEMAN,starry night bring me down...
4 NON BLONDES,9072.0,WHAT'S UP,twenty-five years and my life is still
5 A SECO - MARIA GADU,15225.0,EM PAZ,caiu do ceu se revelou anjo da noite e das manhas
5 SECONDS OF SUMMER,19852.0,SHE LOOKS SO PERFECT,He-Ey E-Hey... Simmer Down Simmer Down
5 SECONDS OF SUMMER,20533.0,COMPLETE MESS,Caught Up In Heaven But Your Heaven
A BANDA MAIS BONITA DA CIDADE,2748.0,ORACAO,meu amor essa e a ultima oracao
A BANDA MAIS BONITA DA CIDADE,15450.0,CANCAO PRA NAO VOLTAR,nao volte pra casa meu amor que aqui
A COR DO SOM,6402.0,ABRI A PORTA,abri a porta apareci...
A COR DO SOM,7175.0,MENINO DEUS,menino deus um corpo azul-dourado
A COR DO SOM,7480.0,ZANZIBAR,no azul de jezebel no ceu de calcuta
A COR DO SOM,15200.0,VIVA,viva a alegria e viva o prazer
A COR DO SOM,17247.0,SEMENTE DO AMOR,Sim E Como A Flor De Agua E Ar Luz E Calor
A HA,20508.0,TOUCHY,Donna Found Us In Her Slow And Dreamy Way
A TEENS,4938.0,MAMMA MIA,i've being cheated by you since i don't
A TEENS,4970.0,SUPER TROUPER,super trouper beams are gonna blind me
A TURMA DA MONICA,7548.0,SER CRIANCA E BOM,ser crianca e bom ser crianca fa
A TURMA DO BALAO MAGICO,1543.0,BRUXINHA,o bruxinha bonitinha da vassoura de
A TURMA DO BALAO MAGICO,7505.0,A GALINHA MAGRICELA,eu conheco uma galinha a galinha
A TURMA DO BALAO MAGICO,1036.0,ATIREI O PAU NO GATO,atirei a pau no gato to...
A TURMA DO BALAO MAGICO,1037.0,BAILE DOS PASSARINHOS,passarinho quer dancar...
A TURMA DO BALAO MAGICO,1046.0,DIA DOS PAIS,um passarinho me acordou...
A TURMA DO BALAO MAGICO,1066.0,SUPERFANTASTICO,super fantastico amigo...
A TURMA DO BALAO MAGICO,1068.0,UM DOIS TRES INDIOZINHOS,um dois tres indiozinhos...
A TURMA DO BALAO MAGICO,1069.0,URSINHO PIMPAO (MI OSITO PELON),vem meu ursinho querido...
A VIGILIA,5614.0,JEOVA E O TEU CAVALEIRO,jeova e o teu cavaleiro que...
A VIGILIA,5617.0,JESUS TE ENTRONIZAMOS,jesus nesta noite...
A VIGILIA,5636.0,RENOVA-ME,renova-me senhor jesus ja nao quero...
A VIGILIA 2,5608.0,ESTAMOS AQUI,estamos aqui na casa de deus...
A ZORRA,9574.0,A COR DA ESPERANCA,sei
ABBA,2533.0,MAMMA MIA,i've been cheated by you since i don't...
ABBA,4574.0,DANCING QUEEN,yeah! you can dance you can jive
ABBA,4787.0,THE WINNER TAKES IT ALL,i don't wanna talk...
ABBA,4877.0,CHIQUITITA,chiquitita tell me what's wrong
ABBA,9116.0,I HAVE A DREAM,i have a dream a song to sing...
ABBA,19333.0,FERNANDO,can you hear the drums fernando
ABBA,19768.0,KNOWING ME KNOWING YOU,No More Carefree Laughter
ABBA,20243.0,GIMME GIMME GIMME (A MAN AFTER,Half Past Twelve And I Watching
ABBA,20411.0,DON`T SHUT ME DOWN,A While Ago I Heard The Sound Of Children`S
ABBA,20455.0,LAY ALL YOUR LOVE ON ME,I Wasnt Jealous Before We Met
ABBA,20548.0,SOS,Where Are Those Happy Days They Seem So Hard
ABE SHIZUE,18424.0,WATTE MIZU IRO NO TEGAMI,Ogenki desu ka soshite ima demo aishite
ABELHUDOS,1804.0,AS CRIANCAS E OS ANIMAIS,e o e o
ABILIO FARIAS,1790.0,VOU FECHAR O CABARE,esperei tanto
ABILIO FARIAS,15049.0,CORACAO INDECISO,um coracao indeciso busquei no ceu um
ABILIO FARIAS,15130.0,O GENRO ODIADO,desculpa mulher resolvi mil desculpas pedir
ABSYNTHO,6355.0,SO A LUA,lembro que ela disse meio triste...
AC-DC,2606.0,HIGHWAY TO HELL,livin' easy lovin' free...
AC-DC,5870.0,BACK IN BLACK,back in black i hit the sack
AC-DC,19696.0,FOR THOSE ABOUT TO ROCK (WE S,we roll tonight to the guitar bite
AC-DC,20370.0,YOU SHOOK ME ALL NIGHT LONG,She Was A Fast Machine She Kept Her Motor
ACE OF BASE,4857.0,ALL THAT SHE WANTS,she leads a lonely life
ACE OF BASE,9221.0,HAPPY NATION,laudate omnes gentes laudate
ACE OF BASE,19568.0,DON'T TURN AROUND,don't tell me that you wanna leave
ACE OF BASE,19687.0,BEAUTIFUL LIFE,you can do what you want just seize the day
